iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,employee_residence,salary_in_usd
JEY,Europe,Jersey,2022-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222371.0,82645.0,78935.0,60791.0,,98.0,220.01,81.77,78.1,60.15,970.0,15.0,0.015,,101073.0,,,,,,,,,,,,,,,,,,,Jersey,100000.0
NLD,Europe,Netherlands,2022-03-05,6734097.0,67207.0,57106.857,21714.0,9.0,15.857,392130.678,3913.506,3325.368,1264.42,0.524,0.923,,157.0,9.142,1201.0,69.935,81.0,4.717,1002.0,58.347,,,,,,,,,,33942499.0,13450667.0,12356769.0,9003462.0,,3026.0,197.65,78.32,71.95,52.43,176.0,112.0,0.001,,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,Netherlands,77743.76190476191
DZA,Africa,Algeria,2022-03-05,265227.0,41.0,64.143,6853.0,1.0,3.571,5944.578,0.919,1.438,153.597,0.022,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,,Algeria,100000.0
DOM,North America,Dominican Republic,2022-03-05,575883.0,291.0,258.857,4371.0,1.0,0.429,52574.223,26.566,23.632,399.043,0.091,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,,Dominican Republic,110000.0
LVA,Europe,Latvia,2022-03-05,697548.0,7754.0,7638.714,5348.0,25.0,17.857,373632.919,4153.334,4091.582,2864.59,13.391,9.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,,,,Latvia,58626.333333333336
KOR,Asia,South Korea,2022-03-05,4456264.0,243612.0,208774.714,8957.0,161.0,144.714,86857.967,4748.292,4069.271,174.583,3.138,2.821,,896.0,17.464,,,,,12193.0,237.656,,,,,,,,,,,,,,,,,,,,,,,40.74,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,South Korea,47000.0
DNK,Europe,Denmark,2022-03-05,2853236.0,15735.0,17347.143,4830.0,58.0,41.714,490811.59,2706.723,2984.043,830.853,9.977,7.176,,35.0,6.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,,Denmark,31192.666666666668
COL,South America,Colombia,2022-03-05,6070616.0,1191.0,1403.286,139037.0,53.0,62.714,118414.443,23.232,27.373,2712.079,1.034,1.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,,Colombia,74774.57142857143
MUS,Africa,Mauritius,2022-03-05,70862.0,0.0,0.0,786.0,0.0,0.0,55646.648,0.0,0.0,617.232,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,Mauritius,100000.0
KEN,Africa,Kenya,2022-03-05,323071.0,14.0,23.571,5640.0,0.0,0.143,5875.546,0.255,0.429,102.572,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,,Kenya,65000.0
SWE,Europe,Sweden,2022-03-05,2455966.0,,,17512.0,,,241725.154,,,1723.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,,Sweden,105000.0
NOR,Europe,Norway,2022-03-05,1305006.0,5457.0,11305.714,1664.0,,,238765.932,998.421,2068.511,304.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,,,,Norway,88462.0
